#=====================================================
# File created:        Mon-28-Oct-2024-at-09-43-37PM
# Size of lattice:     50x50
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        3.131341
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2435.4668  0.2544 
   00001    0.7020   -3691.7067  0.2621 
   00002    0.6412   -4336.8883  0.2655 
   00003    0.6020   -4648.3872  0.2677 
   00004    0.5704   -4976.0100  0.2765 
   00005    0.5636   -5099.6283  0.2690 
   00006    0.5620   -5202.2136  0.2663 
   00007    0.5424   -5320.7359  0.2648 
   00008    0.5276   -5402.7989  0.2788 
   00009    0.5316   -5424.0970  0.2848 
   00010    0.5096   -5490.4898  0.2841 
   00011    0.5344   -5504.7794  0.2919 
   00012    0.5260   -5653.4084  0.2938 
   00013    0.5200   -5661.8507  0.2985 
   00014    0.5236   -5669.6814  0.3094 
   00015    0.5212   -5736.4440  0.3100 
   00016    0.5096   -5739.0306  0.2988 
   00017    0.4884   -5711.1865  0.2941 
   00018    0.5128   -5755.1837  0.2921 
   00019    0.4884   -5706.4681  0.2957 
   00020    0.5072   -5716.8548  0.2891 
   00021    0.5012   -5781.2151  0.2919 
   00022    0.5000   -5881.4701  0.2986 
   00023    0.4924   -5800.6896  0.3025 
   00024    0.4908   -5751.8250  0.2949 
   00025    0.4816   -5691.9553  0.3079 
   00026    0.5072   -5701.7543  0.2840 
   00027    0.5064   -5709.2179  0.2822 
   00028    0.4984   -5751.7228  0.2895 
   00029    0.5088   -5760.3513  0.2903 
   00030    0.5300   -5696.0695  0.2766 
   00031    0.4916   -5731.3797  0.2808 
   00032    0.5072   -5750.8766  0.2778 
   00033    0.4856   -5793.5479  0.2801 
   00034    0.4720   -5857.6863  0.2719 
   00035    0.4924   -5895.3712  0.2833 
   00036    0.4940   -5854.6530  0.2787 
   00037    0.4904   -5824.8863  0.2820 
   00038    0.5052   -5706.8319  0.2904 
   00039    0.4996   -5831.9549  0.2911 
   00040    0.5012   -5873.1287  0.2999 
   00041    0.5140   -5859.5795  0.3185 
   00042    0.4992   -5755.6079  0.3122 
   00043    0.4948   -5825.0921  0.3054 
   00044    0.5080   -5895.7060  0.2979 
   00045    0.4828   -5938.4786  0.3050 
   00046    0.4996   -5789.1821  0.3104 
   00047    0.5124   -5869.1199  0.3007 
   00048    0.4756   -5889.4469  0.3067 
   00049    0.4640   -5911.9001  0.3045 
   00050    0.5000   -5884.9256  0.2957 
   00051    0.4920   -5855.1992  0.2928 
   00052    0.4828   -5886.0809  0.2991 
   00053    0.5012   -5889.0240  0.3110 
   00054    0.4936   -5842.5959  0.3116 
   00055    0.5036   -5793.4311  0.3208 
   00056    0.5104   -5855.8235  0.3080 
   00057    0.4948   -5893.0120  0.3212 
   00058    0.4868   -5852.4629  0.3201 
   00059    0.4804   -5935.4868  0.3175 
   00060    0.5020   -5817.0289  0.3186 
   00061    0.4896   -5732.7589  0.3134 
   00062    0.4996   -5768.0848  0.3140 
   00063    0.5052   -5778.5591  0.3141 
   00064    0.5020   -5773.6915  0.3206 
   00065    0.4924   -5753.5949  0.3332 
   00066    0.5204   -5781.0567  0.3242 
   00067    0.5300   -5791.9453  0.3208 
   00068    0.4936   -5740.9807  0.3163 
   00069    0.5100   -5718.9084  0.3122 
   00070    0.5032   -5772.2033  0.3158 
   00071    0.5032   -5823.4974  0.3178 
   00072    0.4968   -5793.3700  0.3270 
   00073    0.4968   -5797.2474  0.3325 
   00074    0.5036   -5816.6647  0.3218 
   00075    0.4980   -5755.8019  0.3218 
   00076    0.5016   -5802.7400  0.3136 
   00077    0.5028   -5818.1202  0.3190 
   00078    0.4876   -5847.8806  0.3165 
   00079    0.4912   -5956.3847  0.3142 
   00080    0.4776   -5940.9659  0.2989 
   00081    0.4940   -5831.1849  0.2985 
   00082    0.4912   -5802.4991  0.2995 
   00083    0.5012   -5928.7244  0.2958 
   00084    0.4924   -5856.2077  0.2980 
   00085    0.4816   -5956.4644  0.3016 
   00086    0.4872   -5896.9062  0.3036 
   00087    0.5012   -5881.2276  0.2910 
   00088    0.4952   -5950.0581  0.2981 
   00089    0.4960   -5885.0448  0.3043 
   00090    0.4992   -5970.1551  0.2991 
   00091    0.4748   -5908.3240  0.3048 
   00092    0.4784   -5975.9819  0.3117 
   00093    0.4832   -5909.3990  0.3165 
   00094    0.5088   -5867.9906  0.3181 
   00095    0.4796   -5912.4946  0.3226 
   00096    0.5136   -5914.1606  0.3049 
   00097    0.5020   -5917.0377  0.3112 
   00098    0.5016   -5934.8489  0.3110 
   00099    0.4892   -5932.6974  0.3080 
   00100    0.4856   -5896.8604  0.3016 
