#=====================================================
# File created:        Sun-27-Oct-2024-at-04-14-24PM
# Size of lattice:     50x50
# Number of MC steps:  100
# Reduced temperature: 1.000
# Run time (s):        3.129826
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000   -2670.7769  0.2631 
   00001    0.6904   -3972.2334  0.2629 
   00002    0.6304   -4510.2633  0.2666 
   00003    0.5856   -4726.8162  0.2656 
   00004    0.5596   -4972.5702  0.2598 
   00005    0.5596   -5068.5589  0.2511 
   00006    0.5460   -5303.3202  0.2625 
   00007    0.5432   -5362.5799  0.2575 
   00008    0.5336   -5390.5265  0.2625 
   00009    0.5340   -5458.8630  0.2665 
   00010    0.5332   -5497.7584  0.2722 
   00011    0.5152   -5515.1719  0.2663 
   00012    0.5172   -5583.7241  0.2561 
   00013    0.5144   -5681.0954  0.2603 
   00014    0.5108   -5706.0645  0.2526 
   00015    0.4964   -5831.1372  0.2734 
   00016    0.5060   -5779.2940  0.2637 
   00017    0.4984   -5701.1532  0.2638 
   00018    0.5064   -5756.0162  0.2657 
   00019    0.5148   -5807.1695  0.2616 
   00020    0.5076   -5929.1006  0.2701 
   00021    0.4924   -5910.5269  0.2658 
   00022    0.4840   -5907.2593  0.2670 
   00023    0.5100   -5902.6110  0.2664 
   00024    0.5028   -5850.8455  0.2591 
   00025    0.4852   -5903.6367  0.2584 
   00026    0.4784   -5875.0798  0.2661 
   00027    0.4956   -5910.6454  0.2641 
   00028    0.5156   -5872.8901  0.2683 
   00029    0.4956   -5879.7456  0.2789 
   00030    0.4968   -5829.9837  0.2817 
   00031    0.4900   -5770.9860  0.2782 
   00032    0.5148   -5837.4624  0.2829 
   00033    0.4848   -5888.5535  0.2796 
   00034    0.4728   -5872.1027  0.2786 
   00035    0.4832   -5937.7471  0.2845 
   00036    0.4792   -5821.3134  0.2878 
   00037    0.5020   -5767.5162  0.3046 
   00038    0.5088   -5919.8149  0.3037 
   00039    0.4920   -5961.4146  0.3182 
   00040    0.4816   -6026.7075  0.3185 
   00041    0.4988   -5950.0701  0.3185 
   00042    0.4884   -5975.8660  0.3136 
   00043    0.4888   -5930.0405  0.3124 
   00044    0.4928   -5927.5473  0.3088 
   00045    0.4944   -5804.4099  0.3127 
   00046    0.4984   -5847.7746  0.3102 
   00047    0.5028   -5906.6288  0.3025 
   00048    0.4872   -5962.8329  0.2951 
   00049    0.4892   -5935.7505  0.2980 
   00050    0.4960   -5891.2772  0.3129 
   00051    0.4836   -5916.1049  0.3106 
   00052    0.5024   -6053.1079  0.3169 
   00053    0.4580   -6052.7984  0.3074 
   00054    0.4752   -6022.1153  0.3103 
   00055    0.4704   -6019.2570  0.3163 
   00056    0.4832   -6053.0120  0.3150 
   00057    0.4876   -5993.7158  0.3094 
   00058    0.4812   -5997.9953  0.3095 
   00059    0.4788   -5927.9004  0.3025 
   00060    0.4872   -5907.6835  0.3046 
   00061    0.5156   -5847.5881  0.3071 
   00062    0.4964   -5853.2719  0.3108 
   00063    0.4948   -5787.1036  0.3127 
   00064    0.4968   -5817.7015  0.3166 
   00065    0.5084   -5862.0833  0.3240 
   00066    0.5076   -5859.8016  0.3309 
   00067    0.4820   -5910.4340  0.3201 
   00068    0.4896   -5993.2621  0.3193 
   00069    0.4928   -6032.5473  0.3049 
   00070    0.4900   -5952.1620  0.3142 
   00071    0.4928   -5956.0625  0.3210 
   00072    0.5004   -5864.8408  0.3235 
   00073    0.4988   -5879.9319  0.3264 
   00074    0.4928   -5915.0138  0.3354 
   00075    0.5092   -5878.1569  0.3300 
   00076    0.4904   -6000.4955  0.3451 
   00077    0.4772   -6021.8440  0.3407 
   00078    0.4636   -5987.7921  0.3465 
   00079    0.5028   -5959.6264  0.3465 
   00080    0.5056   -5905.2281  0.3460 
   00081    0.4948   -5935.6185  0.3531 
   00082    0.4988   -5898.4322  0.3483 
   00083    0.4924   -5971.4499  0.3444 
   00084    0.4720   -5992.1279  0.3413 
   00085    0.4844   -6008.7474  0.3445 
   00086    0.4716   -6024.1791  0.3383 
   00087    0.4988   -6004.0586  0.3486 
   00088    0.4840   -5958.1275  0.3457 
   00089    0.4804   -5940.4219  0.3495 
   00090    0.4944   -5834.6305  0.3453 
   00091    0.5228   -5777.6950  0.3448 
   00092    0.5132   -5843.2584  0.3498 
   00093    0.4944   -5842.1218  0.3440 
   00094    0.4996   -5891.6343  0.3494 
   00095    0.4964   -5977.5071  0.3527 
   00096    0.4844   -5985.4870  0.3498 
   00097    0.4904   -6042.8871  0.3464 
   00098    0.4784   -6047.1120  0.3525 
   00099    0.4776   -5948.9132  0.3574 
   00100    0.4892   -5904.1811  0.3466 
