#=====================================================
# File created:        Fri-25-Oct-2024-at-09-32-09PM
# Size of lattice:     20x20
# Number of MC steps:  50
# Reduced temperature: 0.500
# Run time (s):        0.248489
#=====================================================
# MC step:  Ratio:     Energy:   Order:
#=====================================================
   00000    0.5000    -355.9950  0.2627 
   00001    0.6600    -555.1192  0.3146 
   00002    0.6375    -703.0905  0.3143 
   00003    0.5800    -806.2095  0.3214 
   00004    0.5675    -880.2762  0.3226 
   00005    0.5300    -926.0692  0.2987 
   00006    0.5025    -968.0001  0.3068 
   00007    0.5275   -1004.6023  0.3002 
   00008    0.4925   -1044.4489  0.3068 
   00009    0.4750   -1086.6636  0.3215 
   00010    0.4850   -1104.8052  0.3375 
   00011    0.4775   -1115.7090  0.3239 
   00012    0.4800   -1133.9062  0.3271 
   00013    0.4600   -1147.9196  0.3303 
   00014    0.4325   -1143.6001  0.3543 
   00015    0.4450   -1177.7820  0.3614 
   00016    0.4225   -1182.9521  0.3583 
   00017    0.4650   -1183.5713  0.3681 
   00018    0.5000   -1200.3041  0.3669 
   00019    0.4150   -1219.3017  0.3888 
   00020    0.4300   -1227.1163  0.4028 
   00021    0.4375   -1225.2570  0.4128 
   00022    0.4575   -1242.0882  0.4474 
   00023    0.4225   -1240.9223  0.4781 
   00024    0.4575   -1231.5941  0.4861 
   00025    0.4200   -1245.9788  0.4973 
   00026    0.4300   -1258.2024  0.5010 
   00027    0.3950   -1255.7119  0.5032 
   00028    0.4350   -1270.9845  0.5047 
   00029    0.4300   -1285.1457  0.5042 
   00030    0.4550   -1284.3784  0.5027 
   00031    0.3850   -1269.4955  0.5115 
   00032    0.4175   -1263.5692  0.5015 
   00033    0.4350   -1279.8361  0.5099 
   00034    0.4350   -1278.7031  0.5161 
   00035    0.4250   -1284.6280  0.5018 
   00036    0.4125   -1294.9653  0.4926 
   00037    0.4500   -1293.1363  0.4889 
   00038    0.4675   -1296.5712  0.4826 
   00039    0.4400   -1283.7756  0.4899 
   00040    0.4600   -1297.1867  0.5027 
   00041    0.4100   -1313.1544  0.5080 
   00042    0.4275   -1296.7894  0.5095 
   00043    0.4125   -1300.8588  0.5092 
   00044    0.3925   -1299.8609  0.5129 
   00045    0.4225   -1294.3269  0.5075 
   00046    0.4475   -1309.0338  0.5295 
   00047    0.4250   -1291.5052  0.5268 
   00048    0.4225   -1308.5107  0.5305 
   00049    0.4525   -1308.8069  0.5510 
   00050    0.4075   -1323.0200  0.5406 
